NewsID,WordCount,PositiveSentiment,NegativeSentiment,NeutralSentiment,CompoundSentiment,NumberOfAuthors,UniqueUserShares,AvgClusteringCoeff,AvgEigenvectorCentrality
83,348,0.094,0.121,0.785,-0.9415,1,9,0.0606974533133213,0.0018946418115465
84,542,0.073,0.056,0.87,0.7817,1,65,0.1410903235119632,0.0028615706589197
85,280,0.032,0.008,0.96,0.6908,2,19,0.2694260101114364,0.0032129375142719
86,954,0.116,0.156,0.728,-0.9925,3,19,0.1460682739243587,0.0015785493067758
87,359,0.013,0.157,0.83,-0.9952,1,15,0.1331777529816249,0.0018308602789963
88,187,0.039,0.087,0.874,-0.7269,3,52,0.1388441030219314,0.0031039107262833
89,420,0.119,0.027,0.854,0.9906,1,190,0.1270414493014798,0.0025749466987451
90,507,0.076,0.064,0.86,0.0956,1,5,0.1931135531135531,0.0007893455885397
91,1361,0.079,0.058,0.863,0.9887,1,31,0.1634661610257493,0.00097636447135
92,5298,0.107,0.112,0.781,-0.9948,9,22,0.2052474725393181,0.0023602375899288
93,312,0.06,0.143,0.797,-0.9865,2,24,0.1523648834255618,0.0016806756533863
94,1077,0.068,0.086,0.846,-0.9754,2,324,0.1439040113445702,0.0024612867041646
95,1488,0.068,0.04,0.892,0.9919,2,26,0.1197738544729665,0.0020208567916838
96,418,0.097,0.036,0.867,0.9637,1,5,0.4395396083489155,0.0070687590041059
97,2112,0.103,0.095,0.803,0.9656,2,58,0.1462279395579676,0.0018635935390608
98,235,0.13,0.067,0.802,0.9665,1,54,0.1644701642291302,0.0018816932274111
99,267,0.032,0.041,0.928,-0.6597,1,110,0.1155664832036822,0.0022252649405639
100,206,0.056,0.135,0.809,-0.9517,2,61,0.1268075811900538,0.0021824735512062
101,387,0.134,0.056,0.81,0.9785,1,5,0.3422222222222222,0.0005821216613163
102,2154,0.081,0.071,0.848,0.8703,2,36,0.1016762684833293,0.0016346730151469
103,4823,0.088,0.048,0.864,0.9996,4,5,0.3047619047619047,0.0003449789625766
104,502,0.048,0.133,0.818,-0.9939,2,1,0.1533333333333333,0.0019531957200873
105,290,0.065,0.019,0.916,0.8955,2,13,0.1558669959916425,0.0013021782661184
106,323,0.032,0.08,0.887,-0.9545,2,86,0.1443287515186687,0.0029965241137156
107,1067,0.134,0.028,0.838,0.999,3,32,0.1749335604926029,0.0021049524113142
108,309,0.121,0.085,0.794,0.9527,2,145,0.1422084551481609,0.0022250620130356
109,200,0.103,0.014,0.883,0.8982,1,5,0.0348387096774193,0.0009411797496876
110,2026,0.093,0.105,0.802,-0.9905,2,53,0.1776260005756219,0.0028038739509649
111,336,0.07,0.105,0.825,-0.8959,1,7,0.1960503781932353,0.001118618266779
112,471,0.099,0.122,0.778,-0.9657,1,14,0.1835162189348889,0.001413535415897
113,964,0.108,0.118,0.774,-0.9758,3,128,0.1426704170629973,0.0020417619362911
114,2068,0.177,0.053,0.77,0.9999,2,54,0.1434658654720557,0.0014962139546429
115,702,0.106,0.099,0.795,0.7366,2,27,0.1037269057154992,0.0033272951813341
116,451,0.091,0.132,0.777,-0.961,4,55,0.1160640631914621,0.0029524045798205
117,420,0.039,0.108,0.852,-0.9872,1,3,0.1282828282828282,0.0006651874738203
118,415,0.035,0.065,0.9,-0.9032,3,14,0.1946164537228261,0.0019872787484711
119,786,0.071,0.194,0.736,-0.9991,2,24,0.1226625798282944,0.0012520017749164
120,514,0.037,0.151,0.812,-0.9967,1,5,0.2759999999999999,0.0003288946274473
121,298,0.054,0.105,0.84,-0.9362,1,86,0.1613940423523664,0.002182741997214
122,208,0.113,0.074,0.813,0.8187,1,331,0.1340524918311162,0.0024335348886542
123,257,0.087,0.1,0.813,-0.5516,1,241,0.1491116047315726,0.0024171211363878
124,481,0.079,0.048,0.872,0.9309,1,536,0.1383217733694851,0.0028031659078752
125,557,0.077,0.08,0.843,-0.593,1,37,0.1284376489592364,0.0015836052533455
126,71,0.11,0.03,0.861,0.7269,0,265,0.1277797389496056,0.0026933861624268
127,280,0.07,0.124,0.805,-0.9612,0,1,0.0,1.151358022192195e-05
128,571,0.093,0.082,0.825,0.7113,1,785,0.1431854091877287,0.0023765724945884
129,555,0.068,0.086,0.846,-0.935,1,59,0.1321363311923764,0.0024298070925734
130,378,0.097,0.039,0.864,0.9601,1,5,0.1432633053221288,0.0012331436559348
131,431,0.135,0.093,0.772,0.9745,0,28,0.1608377049883143,0.0019239465377855
132,71,0.044,0.0,0.956,0.3612,0,124,0.1203097544850437,0.0021437967408421
133,298,0.058,0.097,0.845,-0.8801,1,20,0.1246594386513817,0.0029636652686923
134,98,0.117,0.178,0.705,-0.7845,1,127,0.1424239636065644,0.0021378284259619
135,193,0.145,0.025,0.83,0.9723,1,635,0.1356536241562332,0.0025230399716162
136,386,0.107,0.125,0.768,-0.8674,1,58,0.1370546659004466,0.0027773325145025
137,298,0.105,0.015,0.88,0.9832,1,4,0.225,0.0007490068559621
138,233,0.067,0.082,0.851,-0.5497,0,31,0.229487670960601,0.0042218210208562
139,172,0.129,0.106,0.765,0.6486,1,6,0.1289614853986111,0.0035378190321672
140,556,0.133,0.095,0.772,0.9818,0,158,0.1546352971424373,0.002328883844254
141,407,0.17,0.044,0.786,0.9937,2,255,0.1460077117779578,0.0026360279163979
142,655,0.066,0.142,0.792,-0.996,1,494,0.1276119821532311,0.0027690029034305
143,426,0.075,0.03,0.895,0.8954,0,15,0.1249628114473239,0.0022939683357793
144,5,0.0,0.0,0.0,0.0,1,393,0.1211176935600251,0.0022796114098735
145,263,0.139,0.11,0.751,0.688,0,606,0.1409636924064651,0.0026483140610637
146,364,0.061,0.091,0.848,-0.8324,1,48,0.1197556648154254,0.0025492352240049
147,535,0.04,0.056,0.904,-0.7629,0,128,0.1502347166454335,0.0035626500708737
148,271,0.065,0.228,0.707,-0.9931,0,48,0.1479408273931372,0.0023006929066995
149,29,0.225,0.0,0.775,0.4404,1,126,0.1112922067357931,0.0015516737496421
150,477,0.082,0.072,0.846,0.8054,1,73,0.1563820920846775,0.0024362311437527
151,203,0.063,0.05,0.887,0.5574,0,42,0.1165718611119516,0.0023723694162823
152,262,0.141,0.056,0.803,0.9804,0,63,0.1474917609748887,0.0021208406954122
153,670,0.117,0.061,0.822,0.9814,1,99,0.1372840119622591,0.0034489016899345
154,454,0.069,0.099,0.833,-0.9387,1,391,0.161756603661538,0.0026678029807933
155,374,0.058,0.133,0.809,-0.964,0,1362,0.140338002431681,0.0025684053131355
156,423,0.075,0.03,0.895,0.8954,0,349,0.1320538777555394,0.0021602189545235
157,26,0.225,0.0,0.775,0.4404,1,86,0.1624732131652394,0.0027422933168262
158,445,0.117,0.071,0.813,0.9654,1,85,0.1387187492936258,0.0019350309948752
159,338,0.091,0.089,0.82,-0.3816,1,66,0.1201890008225186,0.0026243742617206
160,530,0.157,0.092,0.751,0.9946,1,152,0.1306562369727243,0.0020820447105452
161,105,0.083,0.101,0.817,-0.2263,0,228,0.15250474915748,0.0020541505917857
162,287,0.146,0.052,0.801,0.9818,0,911,0.1514079650147524,0.0021412821745985
163,146,0.055,0.181,0.765,-0.9723,1,137,0.1594647089202511,0.0035425139039361
164,149,0.115,0.05,0.835,0.9022,1,122,0.1279270852137548,0.0020029507685999
165,218,0.079,0.088,0.833,-0.2796,0,51,0.1074945985679026,0.0022609701681487
166,297,0.085,0.071,0.844,0.2939,2,248,0.1224608943828409,0.0025372926336004
167,1,0.0,0.0,0.0,0.0,1,158,0.1249205852354207,0.003003118546222
168,264,0.069,0.17,0.762,-0.9858,1,149,0.1412117454232632,0.0023351165394108
169,668,0.072,0.175,0.753,-0.9976,1,361,0.1323626016973478,0.0027277020879581
170,385,0.132,0.082,0.786,0.9627,2,34,0.1144067001945547,0.0004498195916194
171,419,0.063,0.077,0.86,-0.0662,1,385,0.1381089750705208,0.0026362535419935
172,4167,0.102,0.114,0.785,-0.9979,10,100,0.1115874050155113,0.0013930123333273
173,170,0.069,0.036,0.895,0.3626,1,1,0.1,6.781966112978882e-05
174,219,0.081,0.005,0.914,0.9473,1,172,0.1378577102248775,0.0021249537486375
175,65,0.064,0.0,0.936,0.539,0,4,0.0547891405475482,0.0021454910882101
176,121,0.023,0.134,0.843,-0.8999,0,32,0.169837810198723,0.0022665542368094
177,350,0.042,0.158,0.8,-0.9938,0,389,0.1291655539706324,0.0024057914456656
178,281,0.115,0.195,0.691,-0.991,2,2548,0.1391906490640117,0.0024943782771062
179,1079,0.028,0.062,0.91,-0.9824,1,416,0.1347927738924879,0.0025548031808809
180,389,0.087,0.157,0.755,-0.9892,1,161,0.1301607209378038,0.0024899422155127
181,293,0.115,0.122,0.763,-0.6271,1,122,0.1714699424167523,0.0025158692317895
182,581,0.116,0.069,0.815,0.9869,1,13,0.1081519947309136,0.0007937718332458
183,309,0.112,0.015,0.874,0.985,1,1,0.135064935064935,0.023954350451255
184,135,0.026,0.062,0.912,-0.5372,4,8,0.1185107634499227,0.0032496811298282
185,591,0.084,0.074,0.842,0.7687,1,25,0.1725652021267811,0.0034682914049533
186,238,0.055,0.145,0.801,-0.974,1,19,0.1290445650312767,0.0033199909489789
187,228,0.049,0.023,0.928,0.4854,1,322,0.1398938639021933,0.0022466005161869
188,434,0.115,0.089,0.796,0.9108,6,68,0.2189366077756076,0.0027569535376648
189,636,0.114,0.045,0.842,0.9923,0,17,0.1682437646597709,0.0026634735115319
190,23,0.0,0.15,0.85,-0.25,1,453,0.1483445404849701,0.002538269564138
191,406,0.11,0.066,0.825,0.9652,0,29,0.1708373438121489,0.0011359889717786
192,437,0.063,0.13,0.808,-0.9855,0,22,0.1139130239379761,0.0047433634746103
193,184,0.029,0.119,0.852,-0.9531,0,38,0.1290999572156414,0.0028196624262465
194,227,0.084,0.068,0.848,0.151,2,71,0.1451395115070262,0.003207782212694
195,311,0.084,0.086,0.831,-0.1349,0,225,0.1481583507471512,0.0025426358503239
196,297,0.06,0.154,0.786,-0.9847,1,21,0.2204614445009757,0.0014771934224697
197,298,0.076,0.104,0.82,-0.8422,0,49,0.1633138440774292,0.0023000085350768
198,147,0.134,0.129,0.736,0.4223,1,1,0.0666666666666666,1.6216052230653483e-05
199,271,0.061,0.108,0.83,-0.9243,1,17,0.150553719642234,0.0047653593409908
200,623,0.041,0.068,0.891,-0.9484,1,429,0.1462463738439397,0.0025924939005378
201,369,0.063,0.042,0.895,0.6137,1,49,0.1360509357605466,0.0025631488841932
202,1132,0.132,0.136,0.732,-0.982,1,2,0.1452558370591157,0.0070592342985216
203,423,0.075,0.125,0.8,-0.9793,1,64,0.159347327549144,0.0034219128017578
204,621,0.173,0.048,0.779,0.9983,1,601,0.1360378342748676,0.0029330173477067
205,1624,0.065,0.097,0.838,-0.9955,1,29,0.1654848710208477,0.001347617311517
206,282,0.154,0.131,0.715,0.6659,1,119,0.1607127335954963,0.0025900511444031
207,299,0.084,0.034,0.882,0.9276,1,18,0.0855920810797642,0.0037520554155423
208,415,0.083,0.136,0.781,-0.9873,1,62,0.1669853340639711,0.0027267374778181
209,243,0.094,0.06,0.846,0.8316,2,21,0.1334134006944635,0.0009836857144526
210,224,0.092,0.0,0.908,0.9524,1,7,0.1914940551349683,0.0039963104875707
211,516,0.067,0.116,0.817,-0.9861,1,124,0.1221121992722908,0.0031429333881567
212,290,0.109,0.105,0.786,0.5349,1,40,0.1262816905103402,0.0025962769602084
213,210,0.017,0.058,0.925,-0.81,1,268,0.1434105696210232,0.0022928692465112
214,408,0.034,0.045,0.921,-0.5251,0,213,0.137668438413142,0.0030546459706507
215,351,0.053,0.063,0.884,-0.5472,1,138,0.1382610641465214,0.0024191878012691
216,201,0.141,0.078,0.781,0.9113,1,65,0.1638269281791091,0.0020634486536001
217,646,0.013,0.065,0.922,-0.9883,1,232,0.1162207685664365,0.0025381157709865
218,211,0.117,0.081,0.802,0.8074,1,5,0.288162744024813,0.0003741927787263
219,259,0.051,0.071,0.878,-0.6696,1,440,0.1418440318767719,0.0029615511279321
220,351,0.045,0.091,0.864,-0.9612,2,157,0.1318661745378222,0.0023616353561137
221,277,0.048,0.163,0.789,-0.9864,0,540,0.13567619906713,0.0026182311684423
222,575,0.066,0.071,0.863,0.3803,0,6,0.0523802999911834,0.0006827551174942
223,252,0.057,0.068,0.874,-0.5994,1,224,0.1581309289070187,0.002178958923218
224,742,0.124,0.089,0.787,0.9854,1,12,0.1428874444339047,0.0025605693012869
225,36,0.0,0.371,0.629,-0.9186,1,1,0.238095238095238,0.0007283144507002
226,709,0.152,0.097,0.751,0.9945,3,19,0.1239427503720152,0.0012744685908094
227,672,0.123,0.023,0.854,0.9974,1,2969,0.1378359626333418,0.0025759683243232
228,625,0.117,0.072,0.812,0.9802,1,9,0.0871387271387271,0.0027839531056059
229,233,0.106,0.103,0.791,-0.4352,1,44,0.1575292913550691,0.0023838753159177
230,631,0.079,0.149,0.772,-0.9955,1,59,0.1794407564966059,0.0015312550816703
231,640,0.118,0.085,0.797,0.9803,1,76,0.125500690901342,0.0028865521002502
232,360,0.079,0.09,0.831,-0.6653,1,47,0.1216671666565446,0.0024178481572308
233,399,0.076,0.168,0.757,-0.9917,1,1200,0.1518318154368916,0.0026496619167814
234,436,0.064,0.071,0.865,-0.5095,1,46,0.1644313635464775,0.0033744528350226
235,171,0.02,0.184,0.797,-0.985,1,7,0.1745159602302459,0.0002930455531827
236,454,0.064,0.12,0.816,-0.9789,1,83,0.1413783370030089,0.0027016828908358
237,341,0.13,0.142,0.728,-0.792,1,7,0.1418882166496164,0.0008108021660957
238,256,0.156,0.135,0.709,0.4764,1,29,0.2055548832397029,0.0030554865409074
239,305,0.114,0.133,0.753,-0.7793,1,7,0.325915750915751,0.0007665910283915
240,919,0.051,0.137,0.812,-0.998,1,103,0.1350178256858769,0.0033153876465914
